name,url
Fall 1937,https://myanimelist.net/anime/season/1937/fall
Winter 1936,https://myanimelist.net/anime/season/1936/winter
Spring 1936,https://myanimelist.net/anime/season/1936/spring
Summer 1936,https://myanimelist.net/anime/season/1936/summer
Fall 1936,https://myanimelist.net/anime/season/1936/fall
Winter 1935,https://myanimelist.net/anime/season/1935/winter
Spring 1935,https://myanimelist.net/anime/season/1935/spring
Summer 1935,https://myanimelist.net/anime/season/1935/summer
Fall 1935,https://myanimelist.net/anime/season/1935/fall
Winter 1934,https://myanimelist.net/anime/season/1934/winter
Spring 1934,https://myanimelist.net/anime/season/1934/spring
Summer 1934,https://myanimelist.net/anime/season/1934/summer
Fall 1934,https://myanimelist.net/anime/season/1934/fall
Winter 1933,https://myanimelist.net/anime/season/1933/winter
Spring 1933,https://myanimelist.net/anime/season/1933/spring
Summer 1933,https://myanimelist.net/anime/season/1933/summer
Fall 1933,https://myanimelist.net/anime/season/1933/fall
Winter 1932,https://myanimelist.net/anime/season/1932/winter
Spring 1932,https://myanimelist.net/anime/season/1932/spring
Summer 1932,https://myanimelist.net/anime/season/1932/summer
Fall 1932,https://myanimelist.net/anime/season/1932/fall
Winter 1931,https://myanimelist.net/anime/season/1931/winter
Spring 1931,https://myanimelist.net/anime/season/1931/spring
Summer 1931,https://myanimelist.net/anime/season/1931/summer
Fall 1931,https://myanimelist.net/anime/season/1931/fall
Winter 1930,https://myanimelist.net/anime/season/1930/winter
Spring 1930,https://myanimelist.net/anime/season/1930/spring
Summer 1930,https://myanimelist.net/anime/season/1930/summer
Fall 1930,https://myanimelist.net/anime/season/1930/fall
Winter 1929,https://myanimelist.net/anime/season/1929/winter
Spring 1929,https://myanimelist.net/anime/season/1929/spring
Summer 1929,https://myanimelist.net/anime/season/1929/summer
Fall 1929,https://myanimelist.net/anime/season/1929/fall
Winter 1928,https://myanimelist.net/anime/season/1928/winter
Spring 1928,https://myanimelist.net/anime/season/1928/spring
Summer 1928,https://myanimelist.net/anime/season/1928/summer
Fall 1928,https://myanimelist.net/anime/season/1928/fall
Winter 1927,https://myanimelist.net/anime/season/1927/winter
Spring 1927,https://myanimelist.net/anime/season/1927/spring
Summer 1927,https://myanimelist.net/anime/season/1927/summer
Fall 1927,https://myanimelist.net/anime/season/1927/fall
Winter 1926,https://myanimelist.net/anime/season/1926/winter
Spring 1926,https://myanimelist.net/anime/season/1926/spring
Summer 1926,https://myanimelist.net/anime/season/1926/summer
Fall 1926,https://myanimelist.net/anime/season/1926/fall
Winter 1925,https://myanimelist.net/anime/season/1925/winter
Spring 1925,https://myanimelist.net/anime/season/1925/spring
Summer 1925,https://myanimelist.net/anime/season/1925/summer
Fall 1925,https://myanimelist.net/anime/season/1925/fall
Winter 1924,https://myanimelist.net/anime/season/1924/winter
Spring 1924,https://myanimelist.net/anime/season/1924/spring
Summer 1924,https://myanimelist.net/anime/season/1924/summer
Fall 1924,https://myanimelist.net/anime/season/1924/fall
Winter 1923,https://myanimelist.net/anime/season/1923/winter
Spring 1923,https://myanimelist.net/anime/season/1923/spring
Summer 1923,https://myanimelist.net/anime/season/1923/summer
Fall 1923,https://myanimelist.net/anime/season/1923/fall
Winter 1922,https://myanimelist.net/anime/season/1922/winter
Spring 1922,https://myanimelist.net/anime/season/1922/spring
Summer 1922,https://myanimelist.net/anime/season/1922/summer
Fall 1922,https://myanimelist.net/anime/season/1922/fall
Winter 1921,https://myanimelist.net/anime/season/1921/winter
Spring 1921,https://myanimelist.net/anime/season/1921/spring
Summer 1921,https://myanimelist.net/anime/season/1921/summer
Fall 1921,https://myanimelist.net/anime/season/1921/fall
Winter 1920,https://myanimelist.net/anime/season/1920/winter
Spring 1920,https://myanimelist.net/anime/season/1920/spring
Summer 1920,https://myanimelist.net/anime/season/1920/summer
Fall 1920,https://myanimelist.net/anime/season/1920/fall
Winter 1919,https://myanimelist.net/anime/season/1919/winter
Spring 1919,https://myanimelist.net/anime/season/1919/spring
Summer 1919,https://myanimelist.net/anime/season/1919/summer
Fall 1919,https://myanimelist.net/anime/season/1919/fall
Winter 1918,https://myanimelist.net/anime/season/1918/winter
Spring 1918,https://myanimelist.net/anime/season/1918/spring
Summer 1918,https://myanimelist.net/anime/season/1918/summer
Fall 1918,https://myanimelist.net/anime/season/1918/fall
Winter 1917,https://myanimelist.net/anime/season/1917/winter
Spring 1917,https://myanimelist.net/anime/season/1917/spring
Summer 1917,https://myanimelist.net/anime/season/1917/summer
Fall 1917,https://myanimelist.net/anime/season/1917/fall
